TARGET_B,TARGET_D,CONTROL_NUMBER,MONTHS_SINCE_ORIGIN,DONOR_AGE,IN_HOUSE,URBANICITY,SES,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,OVERLAY_SOURCE,MOR_HIT_RATE,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PER_CAPITA_INCOME,PCT_ATTRIBUTE1,PCT_ATTRIBUTE2,PCT_ATTRIBUTE3,PCT_ATTRIBUTE4,PEP_STAR,RECENT_STAR_STATUS,RECENCY_STATUS_96NK,FREQUENCY_STATUS_97NK,RECENT_RESPONSE_PROP,RECENT_AVG_GIFT_AMT,RECENT_CARD_RESPONSE_PROP,RECENT_AVG_CARD_GIFT_AMT,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_PROM,LIFETIME_GIFT_AMOUNT,LIFETIME_GIFT_COUNT,LIFETIME_AVG_GIFT_AMT,LIFETIME_GIFT_RANGE,LIFETIME_MAX_GIFT_AMT,LIFETIME_MIN_GIFT_AMT,LAST_GIFT_AMT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT,FILE_AVG_GIFT,FILE_CARD_GIFT,KNN_SCORE
0,,5,101,87,0,?,?, .,H,M,2,0,P,0,,554,294,76,11855,0,0,0,0,1,0,A,1,0.067,15.0,0.0,0.0,1,0,26,19,45,297,35,8.49,15,20,5,15,5,12,26,92,8.49,7,0
1,10,12,137,79,0,R,2,45,H,M,7,0,P,0,3,334,212,72,10385,0,41,21,31,1,1,S,2,0.235,15.0,0.25,15.0,4,2,11,32,90,368,25,14.72,20,25,5,17,7,21,7,122,14.72,12,0
0,,37,113,75,0,S,1,11,H,F,5,0,P,0,9,2388,405,63,30855,0,25,26,57,1,1,S,3,0.409,21.67,0.545,22.67,9,6,14,44,119,603,36,16.75,23,28,5,19,11,32,6,105,16.75,16,0
0,,38,92,,0,U,2,4,H,F,6,1,B,0,4,1688,153,3,16342,0,25,32,42,1,0,A,3,0.474,13.44,0.4,13.5,9,4,11,31,96,435,37,11.76,14,17,3,15,11,33,6,92,11.76,12,0
0,,41,101,74,0,R,2,49,U,F,2,1,B,8,5,514,328,90,12107,0,33,36,37,0,0,A,1,0.1,17.5,0.111,10.0,2,1,18,30,83,106,12,8.83,20,25,5,25,6,19,18,92,8.83,3,0
0,,52,101,63,0,U,3,8,U,M,3,0,P,0,,452,182,51,6851,0,57,38,34,0,0,A,4,0.2,8.33,0.125,10.0,3,1,19,22,59,128,22,5.82,7,10,3,10,9,20,19,91,5.82,6,0
0,,53,89,71,0,R,3,50,H,M,5,0,P,0,7,376,122,68,5900,0,17,11,51,1,4,A,1,0.167,18.67,0.273,18.67,3,3,21,29,72,220,20,11.0,15,20,5,20,7,18,21,91,11.0,8,0
1,5,67,89,79,0,C,2,28,H,F,1,0,P,0,,1004,189,95,12667,3,44,49,50,1,0,A,4,0.4,5.0,0.444,5.0,8,4,12,33,89,101,20,5.05,4,7,3,5,9,24,9,91,5.05,8,0
0,,70,89,41,0,C,3,30,H,F,4,0,P,0,,361,180,56,8132,2,51,45,45,1,0,A,4,0.409,5.0,0.455,5.0,9,5,17,36,91,171,34,5.03,4,7,3,5,11,25,17,91,5.03,14,0
1,16,71,101,63,0,R,2,43,H,F,4,1,B,0,,399,307,86,11428,1,33,33,29,1,1,S,3,0.357,8.6,0.571,8.5,5,4,11,27,62,150,22,6.82,8,11,3,8,11,27,9,91,6.82,13,0
0,,156,125,73,0,?,?, .,U,F,5,0,B,17,9,706,299,76,12426,0,0,0,0,1,1,S,2,0.15,8.33,0.111,10.0,3,1,18,38,98,201,33,6.09,8,10,2,10,6,15,18,124,6.09,10,0
1,12,159,77,81,0,R,2,45,U,M,4,1,B,24,3,530,236,81,12208,1,34,19,46,1,0,A,4,0.5,9.64,0.455,9.8,11,5,11,33,90,270,29,9.31,10,15,5,15,11,29,6,89,9.31,7,0
0,,162,65,76,0,S,2,20,U,F,2,1,B,7,7,813,255,48,13079,0,47,24,23,1,0,A,1,0.19,16.25,0.182,17.5,4,2,20,37,99,277,24,11.54,20,25,5,15,11,27,20,89,11.54,4,0
0,,210,101,69,0,S,2,16,H,F,3,1,B,32,6,663,340,68,13347,1,25,37,33,1,1,S,2,0.389,11.57,0.333,10.67,7,3,12,33,96,255,26,9.81,15,20,5,10,8,21,12,92,9.81,10,0
1,8,220,77,45,0,C,3,30,H,M,2,0,B,4,2,550,387,83,20210,0,49,43,37,1,1,S,4,0.438,6.14,0.571,6.0,7,4,13,29,79,122,22,5.55,5,8,3,7,9,25,5,87,5.55,11,0
0,,230,65,71,0,T,2,40,H,M,3,0,B,0,7,2222,450,86,29771,2,34,26,43,0,0,A,1,0.1,17.5,0.0,0.0,2,0,26,16,44,90,7,12.86,15,20,5,20,5,12,26,88,12.86,1,0
0,,236,89,43,0,U,2,7,H,M,4,1,P,0,4,1296,358,52,13619,3,30,53,10,1,0,A,1,0.438,12.86,0.5,12.25,7,4,11,24,68,200,21,9.52,10,15,5,10,9,26,5,87,9.52,6,0
1,15,250,89,87,0,S,2,20,U,F,1,0,B,6,4,469,222,42,10469,0,46,17,39,1,0,A,2,0.35,12.86,0.364,12.5,7,4,17,39,94,261,24,10.88,12,15,3,12,11,23,17,87,10.88,10,0
0,,257,89,55,0,?,?, .,H,F,4,0,P,0,,490,152,63,9807,0,0,0,0,0,0,A,1,0.071,19.0,0.0,0.0,1,0,25,19,49,164,14,11.71,17,20,3,19,5,12,25,87,11.71,3,0
1,33,268,89,37,0,C,1,23,U,F,5,1,B,7,9,1765,327,72,27674,0,50,14,71,0,0,A,4,0.364,25.88,0.455,27.0,8,5,15,40,107,470,21,22.38,25,35,10,35,11,27,8,87,22.38,7,0
0,,276,89,52,0,S,2,16,H,M,5,1,B,10,4,610,297,90,13018,0,33,20,37,0,0,A,3,0.143,11.33,0.2,10.5,3,2,20,33,88,134,14,9.57,8,13,5,10,8,20,20,87,9.57,4,0
1,20,282,17,30,0,T,1,35,H,M,6,1,B,11,,1117,544,87,18212,1,27,70,21,0,0,F,1,0.077,20.0,0.2,20.0,1,1,20,13,39,76,9,8.44,15,20,5,20,5,14,20,87,8.44,1,0
0,,286,89,43,0,R,2,49,H,M,3,1,B,1,,542,301,65,9742,0,24,62,26,0,0,A,1,0.063,25.0,0.0,0.0,1,0,26,18,45,109,7,15.57,15,25,10,25,5,12,26,87,15.57,2,0
0,,316,89,77,0,T,3,41,H,M,1,0,B,0,0,312,117,65,5016,0,23,7,64,1,0,A,1,0.5,20.0,0.545,20.0,10,6,12,32,82,380,23,16.52,15,20,5,20,11,30,4,87,16.52,9,0
0,,317,89,,0,C,2,25,U,M,4,0,M,0,,1125,255,0,16041,0,14,39,13,0,0,A,1,0.077,23.0,0.0,0.0,1,0,19,12,35,87,5,17.4,8,23,15,23,4,14,19,87,17.4,2,0
0,,325,89,37,0,U,4,10,H,F,6,0,B,0,9,5435,1375,97,42851,0,29,30,33,1,1,S,2,0.118,32.5,0.222,32.5,2,2,15,26,58,209,10,20.9,25,35,10,35,10,24,15,87,20.9,6,0
0,,349,89,65,0,U,1,1,H,F,6,1,B,2,,1489,402,26,22959,0,38,55,25,0,0,E,1,0.143,15.0,0.0,0.0,1,0,15,9,29,59,5,11.8,5,15,10,15,2,12,15,86,11.8,2,0
0,,363,89,77,0,U,3,9,H,F,5,1,B,7,,4872,221,10,14394,1,12,11,17,0,0,A,1,0.067,17.0,0.0,0.0,1,0,25,14,39,101,7,14.43,5,17,12,17,5,13,25,85,14.43,1,0
1,10,364,53,59,0,U,1,1,H,F,5,0,P,0,7,3100,133,28,18262,0,20,18,0,1,1,S,2,0.286,13.0,0.2,13.0,6,2,20,26,70,284,21,13.52,20,25,5,10,9,21,18,85,13.52,4,0
1,10,368,137,75,0,U,1,2,H,M,6,1,B,1,7,2257,485,84,17885,0,43,28,41,1,10,A,1,0.333,8.83,0.444,8.75,6,4,19,42,114,247,38,6.5,5,10,5,10,10,24,19,129,6.5,22,0
0,,372,101,42,0,S,1,12,H,M,6,1,B,2,,787,375,94,14366,0,24,36,0,0,0,A,1,0.118,18.0,0.0,0.0,2,0,17,21,59,89,7,12.71,14,19,5,19,4,13,17,91,12.71,3,0
1,5,387,5,,0,T,2,40,U,F,2,0,B,0,,789,413,97,14123,0,31,16,7,0,0,A,3,0.278,5.4,0.222,6.0,5,2,20,15,43,70,12,5.83,7,10,3,5,5,12,18,85,5.83,2,0
1,16,397,89,79,0,U,1,2,H,F,7,1,P,0,9,1857,594,93,27547,0,25,9,65,0,0,A,1,0.067,16.0,0.0,0.0,1,0,20,18,60,111,7,15.86,10,20,10,16,4,15,20,84,15.86,2,0
1,35,403,89,58,0,?,?, .,U,U,2,0,P,0,,765,408,89,15150,0,0,0,0,0,0,A,1,0.063,20.0,0.125,20.0,1,1,18,21,52,335,10,33.5,30,50,20,35,8,21,7,83,33.5,4,0
0,,412,77,,0,T,3,41,U,F,1,0,M,0,2,453,199,79,9591,0,21,40,40,1,10,A,1,0.444,11.25,0.556,11.0,8,5,16,24,68,356,32,11.13,10,15,5,15,6,17,4,81,11.13,10,0
0,,438,89,45,0,T,2,40,H,F,6,1,B,12,8,1400,318,77,14928,0,25,30,29,0,0,A,1,0.1,25.0,0.111,25.0,2,1,18,30,72,159,12,13.25,20,25,5,25,11,27,6,81,13.25,5,0
1,10,441,77,56,0,U,4,10,U,F,1,0,B,2,,550,91,10,10050,0,19,46,31,1,1,S,4,0.5,5.0,0.364,5.0,11,4,8,34,90,154,28,5.5,7,10,3,5,11,25,8,80,5.5,7,0
0,,478,137,82,0,T,2,36,H,F,5,0,P,0,3,550,218,80,10815,0,40,26,42,1,3,A,1,0.3,10.0,0.556,10.4,6,5,19,45,120,321,42,7.64,11,13,2,10,9,22,6,130,7.64,23,0
1,12,511,89,82,0,S,1,15,U,F,4,1,M,2,4,1024,225,8,16782,1,22,33,23,0,0,A,1,0.188,13.33,0.125,10.0,3,1,17,22,58,100,10,10.0,10,15,5,10,9,22,6,78,10.0,2,0
0,,527,89,64,0,T,2,39,H,F,2,1,B,2,,684,282,61,13025,0,32,26,17,1,0,A,3,0.364,7.88,0.455,7.4,8,5,13,32,76,133,23,5.78,13,16,3,5,10,24,13,78,5.78,12,0
0,,539,89,75,0,S,1,14,H,M,5,1,B,15,,2003,909,98,32344,0,27,33,19,0,0,A,1,0.063,33.0,0.0,0.0,1,0,26,23,54,173,6,28.83,8,33,25,33,8,19,26,78,28.83,2,0
0,,544,89,58,0,?,?, .,U,F,2,0,P,0,1,266,222,80,9958,0,0,0,0,1,11,A,1,0.15,11.67,0.111,10.0,3,1,18,38,97,142,16,8.88,10,15,5,15,11,26,18,78,8.88,7,0
0,,545,137,48,0,S,2,18,H,F,2,0,B,0,8,1221,436,75,20091,0,31,29,26,0,0,A,2,0.211,13.0,0.111,16.0,4,1,17,39,90,152,14,10.86,11,16,5,10,8,22,17,111,10.86,4,0
1,20,551,125,85,0,T,2,36,H,F,2,1,P,0,2,340,180,67,9343,0,29,27,46,1,0,A,1,0.063,16.0,0.1,16.0,1,1,24,39,89,368,24,15.33,20,25,5,21,7,15,9,119,15.33,10,0
1,15,557,77,,0,R,2,48,H,F,2,0,P,0,2,789,200,81,9717,0,47,19,55,0,0,A,1,0.579,11.27,0.7,10.57,11,7,11,25,78,328,37,8.86,12,15,3,11,8,27,4,77,8.86,16,0
0,,564,89,59,0,C,1,24,H,F,7,1,B,18,,2573,582,82,19730,0,30,54,8,1,0,A,1,0.25,30.0,0.444,30.0,4,4,16,25,56,210,10,21.0,45,50,5,18,11,24,16,79,21.0,7,0
0,,576,77,47,0,T,1,35,H,F,7,1,B,2,,3770,564,83,30842,0,48,32,49,0,0,A,1,0.059,25.0,0.0,0.0,1,0,25,21,48,141,7,20.14,12,25,13,25,7,15,25,76,20.14,2,0
1,25,591,113,80,0,T,2,37,H,M,5,1,B,2,3,711,223,97,14751,0,58,5,86,1,0,A,1,0.25,29.0,0.364,28.25,5,4,16,43,108,315,12,26.25,20,35,15,20,11,28,16,109,26.25,6,0
0,,598,77,42,0,U,3,8,H,M,5,1,B,3,7,480,343,82,17493,0,32,19,57,0,0,A,1,0.059,25.0,0.111,25.0,1,1,24,23,51,165,7,23.57,5,25,20,25,8,16,24,76,23.57,4,0
0,,616,53,,0,U,2,7,H,F,4,0,B,10,3,2475,281,22,14765,0,7,17,29,0,0,A,1,0.118,15.0,0.0,0.0,2,0,19,23,71,107,9,11.89,15,20,5,15,8,26,8,76,11.89,3,0
0,,626,29,56,0,T,2,36,H,M,4,1,B,1,,689,296,70,11819,0,45,35,37,1,1,S,4,0.316,8.0,0.5,7.6,6,5,18,17,45,60,8,7.5,5,10,5,10,6,16,18,75,7.5,5,0
0,,634,137,,0,U,3,8,U,F,1,0,P,0,1,1608,337,88,10580,0,19,71,10,1,1,S,4,0.35,5.0,0.364,5.0,7,4,18,41,104,235,47,5.0,0,5,5,5,6,15,18,130,5.0,20,0
1,25,637,77,81,1,S,1,13,H,F,4,0,P,0,8,2865,534,92,24571,0,33,14,52,1,0,A,2,0.35,19.57,0.364,21.0,7,4,11,34,93,419,27,15.52,25,30,5,20,9,25,6,80,15.52,11,0
0,,646,137,63,0,T,1,35,H,M,5,1,M,6,9,1361,665,98,21294,0,22,39,22,1,13,A,1,0.3,9.83,0.222,9.0,6,2,13,42,116,237,30,7.9,6,11,5,9,9,26,7,122,7.9,16,0
0,,653,77,40,0,S,1,14,H,F,7,0,P,0,8,914,507,92,16840,2,47,65,18,1,0,A,1,0.1,27.5,0.111,40.0,2,1,19,34,92,239,13,18.38,35,40,5,40,9,23,19,76,18.38,6,0
1,20,661,65,32,0,U,2,5,H,M,6,1,B,4,7,1801,495,79,18663,0,37,26,31,1,0,A,1,0.333,20.14,0.6,20.0,7,6,16,32,90,331,17,19.47,10,25,15,25,11,26,10,73,19.47,12,0
0,,665,41,53,0,T,2,40,H,F,3,1,B,4,5,742,369,89,13642,1,35,32,11,0,0,A,2,0.143,18.33,0.0,0.0,3,0,16,29,75,164,12,13.67,10,20,10,15,11,27,16,73,13.67,1,0
0,,672,89,,0,C,2,27,U,F,2,1,P,0,3,1720,299,53,14082,7,39,54,28,0,0,A,1,0.105,15.5,0.1,16.0,2,1,26,28,70,148,12,12.33,11,16,5,15,5,14,26,80,12.33,4,0
1,15,675,113,82,0,T,1,34,H,F,5,1,B,2,7,1714,342,77,18534,0,29,43,57,1,1,S,2,0.1,13.5,0.111,15.0,2,1,21,32,87,205,23,8.92,15,15,0,15,7,17,21,100,8.92,13,0
0,,687,65,73,0,S,1,12,H,M,7,1,B,2,,1407,578,82,21162,0,29,36,25,1,0,A,4,0.579,6.18,0.7,5.57,11,7,17,30,76,104,18,5.78,6,8,2,8,10,22,17,68,5.78,8,0
0,,689,65,45,0,R,3,50,H,F,7,0,P,0,2,317,182,78,7839,0,23,21,37,1,4,A,1,0.476,5.1,0.6,4.33,10,6,12,35,101,197,47,4.19,8,10,2,10,8,27,5,69,4.19,17,0
0,,702,101,75,0,T,1,35,H,F,7,1,B,6,9,1125,550,90,28012,0,40,18,63,1,0,A,2,0.286,9.83,0.3,10.0,6,3,13,38,103,175,22,7.95,7,11,4,10,10,26,13,92,7.95,7,0
0,,706,77,54,0,T,2,36,H,F,5,1,B,13,,508,269,70,15080,0,37,30,35,0,0,A,1,0.067,15.0,0.0,0.0,1,0,24,17,46,97,11,8.82,10,15,5,15,5,15,24,68,8.82,3,0
0,,714,77,33,0,S,2,19,H,F,6,1,P,0,7,2051,417,67,13430,1,18,43,25,1,1,S,4,0.364,26.38,0.545,27.5,8,6,21,39,106,453,30,15.1,35,40,5,38,11,25,21,76,15.1,14,0
1,35,718,101,75,0,C,2,27,H,F,3,0,B,3,2,1215,296,49,12319,1,33,46,26,0,0,A,1,0.15,40.67,0.091,36.0,3,1,18,31,86,361,16,22.56,40,50,10,36,9,22,18,105,22.56,4,0
1,2,727,65,73,0,R,3,51,H,F,3,1,B,1,,240,232,77,10744,0,27,23,31,1,0,A,4,0.476,2.8,0.8,2.75,10,8,12,28,64,52,23,2.26,4,5,1,2,10,18,7,69,2.26,13,0
0,,743,113,60,0,R,2,46,H,M,5,1,M,15,9,768,304,70,12793,0,28,48,8,1,0,A,2,0.524,10.45,0.4,11.25,11,4,15,39,107,360,37,9.73,10,15,5,10,11,27,11,113,9.73,10,0
0,,775,65,67,0,S,1,15,H,F,5,0,B,1,8,844,352,78,18534,0,43,9,59,1,0,A,4,0.368,13.0,0.222,14.0,7,2,13,29,80,163,15,10.87,13,18,5,15,11,29,11,67,10.87,8,0
1,18,785,77,52,0,C,1,22,U,M,2,1,P,0,2,613,146,2,13209,0,12,18,15,0,0,A,1,0.063,15.0,0.0,0.0,1,0,19,19,49,105,6,17.5,15,25,10,20,7,19,5,66,17.5,3,0
0,,788,65,49,0,T,2,40,H,F,6,1,B,14,,864,404,86,13208,0,30,36,45,0,0,A,1,0.063,40.0,0.125,40.0,1,1,21,20,51,140,5,28.0,15,40,25,40,7,18,21,64,28.0,3,0
1,15,790,77,71,0,R,2,46,U,M,5,0,P,0,4,580,286,78,12400,0,29,34,29,1,0,A,1,0.053,15.0,0.0,0.0,1,0,18,24,67,92,11,8.36,12,15,3,15,5,16,18,68,8.36,4,0
1,15,793,125,87,0,S,2,17,H,F,5,1,B,23,5,1568,328,28,17761,0,26,38,24,1,0,E,1,0.222,14.0,0.125,12.0,4,1,15,37,103,214,21,10.19,18,20,2,16,4,16,15,123,10.19,7,0
0,,804,137,7,0,S,1,11,H,F,5,1,B,8,,1227,471,60,17179,20,36,57,18,1,0,A,3,0.19,6.0,0.2,7.0,4,2,21,38,93,114,25,4.56,4,7,3,7,6,13,21,124,4.56,8,0
0,,836,65,86,0,S,1,13,H,M,6,1,B,10,9,1638,703,79,37099,2,60,35,63,0,0,A,1,0.111,29.0,0.0,0.0,2,0,26,18,45,148,6,24.67,16,31,15,31,3,7,26,64,24.67,1,0
0,,867,77,52,0,C,2,26,H,M,5,1,B,2,4,923,253,14,20273,0,20,13,56,0,0,A,1,0.059,18.0,0.0,0.0,1,0,17,23,63,93,7,13.29,8,18,10,18,5,14,17,77,13.29,2,0
